Igor Araujo Rocha, Rua Vale Formoso 42
Fábio Cardoso Pinto, R. São Romão 55
Diego Ribeiro Martins, R. Nossa Senhora Fátima 10
Joao Dias Santos, Praceta Conde Arnoso 108
Laura Carvalho Rocha, Rua Padre António Vieira 42
Nicole Azevedo Rodrigues, Rua Tomé Queirós 118B
Rebeca Rodrigues Cunha, R. Muro Bacalhoeiros 10
Matilde Ribeiro Cunha, Rua Parque Gondarim 62
Camila Castro Correia, Rua 5 Outubro 94
Sofia Rocha Cardoso, Rua Ciprestes 4
Gabriela Santos Silva, Rua João C. Loureiro 3 Cv Esq
Amadeu Alvim, Rua Cascata Nova 93
Adolfo Alcino, Avenida da Liberdade 11
